CANTON;MEN_24M_SIN_ATENCION;MEN_24M_ATENCION_ATRASADA
24 DE MAYO;45;201
AGUARICO;60;71
ALAUSI;103;189
ALFREDO BAQUERIZO MORENO (JUJAN);99;232
AMBATO;533;1735
ANTONIO ANTE;22;63
ARAJUNO;54;145
ARCHIDONA;139;355
ARENILLAS;31;62
ATACAMES;281;510
AZOGUES;54;112
BABA;89;369
BABAHOYO;218;875
BALAO;135;235
BALZAR;232;702
BAÑOS DE AGUA SANTA;4;2
BIBLIÁN;20;29
BOLÍVAR;166;526
GENERAL ANTONIO ELIZALDE;21;50
BUENA FE;328;643
CALUMA;21;54
CALVAS;4;12
CAMILO PONCE ENRÍQUEZ;50;103
CAÑAR;78;132
CARLOS JULIO AROSEMENA TOLA;31;26
CASCALES;131;73
CATAMAYO;2;37
CAYAMBE;62;103
CELICA;28;99
CENTINELA DEL CÓNDOR;16;50
CEVALLOS;1;4
CHAGUARPAMBA;10;40
CHAMBO;34;49
CHILLA;2;5
CHILLANES;17;98
CHIMBO;19;30
CHONE;135;541
CHORDELEG;4;84
CHUNCHI;18;335
COLIMES;86;118
COLTA;52;43
CORONEL MARCELINO MARIDUEÑA;24;193
COTACACHI;102;567
CUENCA;234;149
CUMANDA;33;2
CUYABENO;2;580
DAULE;425;1584
DURAN;603;96
ECHEANDÍA;29;177
EL CARMEN;204;218
EL GUABO;44;50
EL PANGUI;61;8
EL TAMBO;8;28
EL TRIUNFO;76;207
ELOY ALFARO;423;815
EL EMPALME;320;981
ESMERALDAS;315;444
ESPEJO;25;46
ESPINDOLA;20;64
FLAVIO ALFARO;37;195
GIRON;11;19
GONZALO PIZARRO;31;31
GONZANAMÁ;10;40
GUALACEO;31;26
GUALAQUIZA;51;126
GUAMOTE;61;167
GUANO;52;189
GUARANDA;375;599
GUAYAQUIL;3433;11517
HUAMBOYA;104;195
HUAQUILLAS;157;491
IBARRA;199;219
ISIDRO AYORA;32;77
JAMA;34;123
JARAMIJÓ;37;180
JIPIJAPA;22;84
JUNIN;34;149
LA CONCORDIA;66;55
LA JOYA DE LOS SACHAS;280;387
LA LIBERTAD;243;1535
LA MANA;182;522
LA TRONCAL;76;368
LAGO AGRIO;459;553
LAS GOLONDRINAS;10;9
LAS NAVES;16;36
LATACUNGA;190;823
LIMON INDANZA;127;59
LOGROÑO;63;126
LOJA;81;97
LOMAS DE SARGENTILLO;78;143
LORETO;213;503
MACARA;21;78
MACHALA;135;294
MANTA;100;332
MEJIA;79;360
MERA;16;27
MILAGRO;203;662
MIRA;34;63
MOCACHE;91;303
MOCHA;1;1
MONTALVO;21;143
MONTECRISTI;95;454
MONTÚFAR;61;110
MORONA;210;216
MUISNE;224;477
NABÓN;12;31
NANGARITZA;98;36
NARANJAL;283;541
NARANJITO;43;83
NOBOL;39;106
OLMEDO;21;93
OÑA;4;7
ORELLANA;299;418
OTAVALO;308;479
PABLO SEXTO;22;24
PAJAN;53;180
PALANDA;55;34
PALENQUE;48;158
PALESTINA;84;285
PALLATANGA;28;66
PALORA;58;67
PALTAS;26;157
PANGUA;38;109
PAQUISHA;26;22
PASAJE;74;373
PASTAZA;244;235
PATATE;11;7
PAUTE;3;3
PEDERNALES;242;505
PEDRO CARBO;35;66
PEDRO MONCAYO;75;52
PEDRO VICENTE MALDONADO;36;38
PENIPE;1;20
PICHINCHA;70;219
SANTIAGO DE PILLARO;11;24
PIMAMPIRO;50;91
PIÑAS;3;10
PINDAL;10;87
PLAYAS;82;200
PORTOVELO;1;4
PORTOVIEJO;244;1252
PUCARA;3;22
PUEBLOVIEJO;149;292
PUERTO LOPEZ;31;247
PUERTO QUITO;59;75
PUJILI;93;147
PUTUMAYO;43;23
PUYANGO;32;96
QUERO;28;61
QUEVEDO;458;1105
QUILANGA;4;12
QUININDÉ;837;1185
QUINSALOMA;35;148
QUITO;2371;7159
RIOBAMBA;610;1297
RIOVERDE;257;464
ROCAFUERTE;68;281
RUMIÑAHUI;2;3
SALCEDO;51;209
SALINAS;141;803
SALITRE (URBINA JADO);106;275
SAMBORONDON;68;254
SAN JACINTO DE YAGUACHI;211;776
SAN JUAN BOSCO;34;43
SAN LORENZO;383;782
SAN MIGUEL;27;70
SAN MIGUEL DE LOS BANCOS;34;34
SAN MIGUEL DE URCUQUÍ;70;67
SAN PEDRO DE PELILEO;81;87
SAN VICENTE;98;106
SANTA ANA;63;277
SANTA CLARA;17;28
SANTA ELENA;346;1818
SANTA ISABEL;24;13
SANTA LUCÍA;216;537
SANTA ROSA;24;39
SANTIAGO;76;80
SANTO DOMINGO;1260;2522
SAQUISILI;67;185
SARAGURO;134;111
SEVILLA DE ORO;2;3
SHUSHUFINDI;207;467
SIGCHOS;23;59
SIGSIG;58;38
SIMON BOLIVAR;109;255
SOZORANGA;8;23
SUCRE;140;363
SUCUA;24;31
SUSCAL;7;6
TAISHA;422;280
TENA;421;844
TISALEO;38;48
CANTON TIWINTZA;172;105
TOSAGUA;49;238
TULCÁN;145;33
URDANETA;58;170
VALENCIA;308;761
VENTANAS;203;515
VINCES;140;374
YACUAMBI;75;31
YANTZAZA (YANZATZA);90;122
ZAMORA;25;47
ZAPOTILLO;45;84
ZARUMA;20;37