CÃ³digo Provincia;CÃ³digo CantÃ³n;CÃ³digo Parroquia;Nombre de la Provincia;Nombre del CantÃ³n;Nombre de la Parroquia
01;01;50;AZUAY;CUENCA;CUENCA
02;01;50;BOLIVAR; GUARANDA; GUARANDA
03;01;50; CAÑAR;AZOGUES;AZOGUES
04;01;50;CARCHI; TULCAN; TULCAN
05;01;50; COTOPAXI;LATACUNGA;LATACUNGA
06;01;50;CHIMBORAZO;RIOBAMBA;RIOBAMBA
07;01;50;EL ORO;MACHALA;MACHALA
08;01;50;ESMERALDAS; ESMERALDAS;ESMERALDAS
09;01;50;GUAYAS; GUAYAQUIL;GUAYAQUIL
10;01;50;IMBABURA; IBARRA;SAN MIGUEL DE IBARRA
11;01;50;LOJA ; LOJA;LOJA
12;01;50;LOS RIOS;BABAHOYO;BABAHOYO
13;01;50;MANABI;PORTOVIEJO;PORTOVIEJO
14;01;50; MORONA SANTIAGO;MORONA;MACAS
15;01;50; NAPO;TENA;TENA
16;01;50; PASTAZA;PASTAZA;PUYO
17;01;50;PICHINCHA;QUITO;QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, CAPITAL PROVINCIAL Y DE LA REPUBLICA DEL ECUADOR
18;01;50;TUNGURAHUA;AMBATO;AMBATO
19;01;50; ZAMORA CHINCHIPE;ZAMORA;ZAMORA
20;01;50; GALAPAGOS; SAN CRISTOBAL;PUERTO BAQUERIZO MORENO
21;01;50;SUCUMBIOS; LAGO AGRIO;NUEVA LOJA
22;01;50; ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA)
23;01;50;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS
24;01;50;SANTA ELENA; SANTA ELENA;SANTA ELENA
01;02;50;AZUAY;GIRON;GIRON
02;02;50;BOLIVAR; CHILLANES; CHILLANES
03;02;50; CAÑAR; BIBLIAN; BIBLIAN
04;02;50;CARCHI; BOLIVAR; BOLIVAR
05;02;50; COTOPAXI;LA MANA;LA MANA
06;02;50;CHIMBORAZO;ALAUSI;ALAUSI
07;02;50;EL ORO;ARENILLAS;ARENILLAS
08;02;50;ESMERALDAS;ELOY ALFARO;VALDEZ (LIMONES)
09;02;50;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);ALFREDO BAQUERIZO MORENO (JUJAN)
10;02;50;IMBABURA;ANTONIO ANTE;ATUNTAQUI
11;02;50;LOJA ;CALVAS;CARIAMANGA
12;02;50;LOS RIOS;BABA;BABA
13;02;50;MANABI;BOLIVAR;CALCETA
14;02;50; MORONA SANTIAGO; GUALAQUIZA;GUALAQUIZA
16;02;50; PASTAZA;MERA;MERA
17;02;50;PICHINCHA;CAYAMBE;CAYAMBE
18;02;50;TUNGURAHUA;BAÑOS DE AGUA SANTA;BAÑOS DE AGUA SANTA
19;02;50; ZAMORA CHINCHIPE; CHINCHIPE;ZUMBA
20;02;50; GALAPAGOS; ISABELA;PUERTO VILLAMIL
21;02;50;SUCUMBIOS; GONZALO PIZARRO;LUMBAQUI
22;02;50; ORELLANA;AGUARICO;NUEVO ROCAFUERTE
24;02;50;SANTA ELENA; LA LIBERTAD;LA LIBERTAD
01;03;50;AZUAY;GUALACEO;GUALACEO
02;03;50;BOLIVAR; CHIMBO;SAN JOSE DE CHIMBO
03;03;50; CAÑAR;CAÑAR;CAÑAR
04;03;50;CARCHI; ESPEJO;EL ANGEL
05;03;50; COTOPAXI;PANGUA;EL CORAZON
06;03;50;CHIMBORAZO; COLTA;VILLA LA UNION (CAJABAMBA)
07;03;50;EL ORO;ATAHUALPA;PACCHA
08;03;50;ESMERALDAS;MUISNE;MUISNE
09;03;50;GUAYAS;BALAO;BALAO
10;03;50;IMBABURA;COTACACHI;COTACACHI
11;03;50;LOJA ;CATAMAYO;CATAMAYO (LA TOMA)
12;03;50;LOS RIOS; MONTALVO;MONTALVO
13;03;50;MANABI;CHONE;CHONE
14;03;50; MORONA SANTIAGO;LIMON INDANZA;GENERAL LEONIDAS PLAZA GUTIERREZ (LIMON)
15;03;50; NAPO;ARCHIDONA;ARCHIDONA
16;03;50; PASTAZA; SANTA CLARA;SANTA CLARA
17;03;50;PICHINCHA; MEJIA;MACHACHI
18;03;50;TUNGURAHUA; CEVALLOS;CEVALLOS
19;03;50; ZAMORA CHINCHIPE; NANGARITZA;GUAYZIMI
20;03;50; GALAPAGOS; SANTA CRUZ;PUERTO AYORA
21;03;50;SUCUMBIOS; PUTUMAYO;PUERTO EL CARMEN DEL PUTUMAYO
22;03;50; ORELLANA; LA JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS
24;03;50;SANTA ELENA;SALINAS;SALINAS
01;04;50;AZUAY; NABON; NABON
02;04;50;BOLIVAR; ECHEANDIA; ECHEANDIA
03;04;50; CAÑAR; LA TRONCAL; LA TRONCAL
04;04;50;CARCHI; MIRA;MIRA (CHONTAHUASI)
05;04;50; COTOPAXI; PUJILI;PUJILI
06;04;50;CHIMBORAZO;CHAMBO;CHAMBO
07;04;50;EL ORO;BALSAS;BALSAS
08;04;50;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE)
09;04;50;GUAYAS;BALZAR;BALZAR
10;04;50;IMBABURA;OTAVALO;OTAVALO
11;04;50;LOJA ;CELICA;CELICA
12;04;50;LOS RIOS;PUEBLOVIEJO;PUEBLOVIEJO
13;04;50;MANABI;EL CARMEN;EL CARMEN
14;04;50; MORONA SANTIAGO;PALORA;PALORA (METZERA)
15;04;50; NAPO;EL CHACO;EL CHACO
16;04;50; PASTAZA; ARAJUNO;ARAJUNO
17;04;50;PICHINCHA; PEDRO MONCAYO;TABACUNDO
18;04;50;TUNGURAHUA; MOCHA;MOCHA
19;04;50; ZAMORA CHINCHIPE; YACUAMBI;28 DE MAYO (SAN JOSE DE YACUAMBI)
21;04;50;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI
22;04;50; ORELLANA; LORETO;LORETO
01;05;50;AZUAY;PAUTE;PAUTE
02;05;50;BOLIVAR;SAN MIGUEL;SAN MIGUEL
03;05;50; CAÑAR;EL TAMBO ;EL TAMBO 
04;05;50;CARCHI;MONTUFAR;SAN GABRIEL
05;05;50; COTOPAXI; SALCEDO;SAN MIGUEL
06;05;50;CHIMBORAZO;CHUNCHI;CHUNCHI
07;05;50;EL ORO;CHILLA;CHILLA
08;05;50;ESMERALDAS;SAN LORENZO;SAN LORENZO
09;05;50;GUAYAS;COLIMES;COLIMES
10;05;50;IMBABURA;PIMAMPIRO;PIMAMPIRO
11;05;50;LOJA ;CHAGUARPAMBA;CHAGUARPAMBA
12;05;50;LOS RIOS;QUEVEDO;QUEVEDO
13;05;50;MANABI; FLAVIO ALFARO;FLAVIO ALFARO
14;05;50; MORONA SANTIAGO;SANTIAGO;SANTIAGO DE MENDEZ
17;05;50;PICHINCHA;RUMIÑAHUI;SANGOLQUI
18;05;50;TUNGURAHUA; PATATE;PATATE
19;05;50; ZAMORA CHINCHIPE; YANTZAZA (YANZATZA);YANTZAZA (YANZATZA)
21;05;50;SUCUMBIOS; SUCUMBIOS;LA BONITA
01;06;50;AZUAY; PUCARA; PUCARA
02;06;50;BOLIVAR; CALUMA ; CALUMA 
03;06;50; CAÑAR; DELEG; DELEG
04;06;50;CARCHI; SAN PEDRO DE HUACA;HUACA
05;06;50; COTOPAXI;SAQUISILI;SAQUISILI, 
06;06;50;CHIMBORAZO;GUAMOTE;GUAMOTE
07;06;50;EL ORO;EL GUABO;EL GUABO
08;06;50;ESMERALDAS;ATACAMES;ATACAMES
09;06;50;GUAYAS;DAULE;DAULE
10;06;50;IMBABURA;SAN MIGUEL DE URCUQUI;URCUQUI
11;06;50;LOJA ; ESPINDOLA;AMALUZA
12;06;50;LOS RIOS;URDANETA;CATARAMA
13;06;50;MANABI; JIPIJAPA;JIPIJAPA
14;06;50; MORONA SANTIAGO;SUCUA;SUCUA
18;06;50;TUNGURAHUA; QUERO;QUERO
19;06;50; ZAMORA CHINCHIPE; EL PANGUI;EL PANGUI
21;06;50;SUCUMBIOS;CASCALES;EL DORADO DE CASCALES
01;07;50;AZUAY; SAN FERNANDO; SAN FERNANDO
02;07;50;BOLIVAR; LAS NAVES; LAS NAVES
03;07;50; CAÑAR;SUSCAL;SUSCAL
05;07;50; COTOPAXI;SIGCHOS;SIGCHOS
06;07;50;CHIMBORAZO;GUANO;GUANO
07;07;50;EL ORO;HUAQUILLAS;HUAQUILLAS
08;07;50;ESMERALDAS;RIOVERDE;RIOVERDE
09;07;50;GUAYAS;DURAN;ELOY ALFARO (DURAN)
11;07;50;LOJA ; GONZANAMA;GONZANAMA
12;07;50;LOS RIOS;VENTANAS;VENTANAS
13;07;50;MANABI;JUNIN;JUNIN
14;07;50; MORONA SANTIAGO; HUAMBOYA;HUAMBOYA
15;07;50; NAPO;QUIJOS;BAEZA
17;07;50;PICHINCHA; SAN MIGUEL DE LOS BANCOS;SAN MIGUEL DE LOS BANCOS 
18;07;50;TUNGURAHUA;SAN PEDRO DE PELILEO;PELILEO
19;07;50; ZAMORA CHINCHIPE; CENTINELA DEL CONDOR;ZUMBI
21;07;50;SUCUMBIOS;CUYABENO;TARAPOA 
01;08;50;AZUAY; SANTA ISABEL; SANTA ISABEL
06;08;50;CHIMBORAZO;PALLATANGA;PALLATANGA
07;08;50;EL ORO;MARCABELI;MARCABELI
08;08;50;ESMERALDAS;LA CONCORDIA;LA CONCORDIA
09;08;50;GUAYAS; EL EMPALME;VELASCO IBARRA (EL EMPALME)
11;08;50;LOJA ;MACARA;MACARA
12;08;50;LOS RIOS;VINCES;VINCES
13;08;50;MANABI; MANTA;MANTA
14;08;50; MORONA SANTIAGO;SAN JUAN BOSCO ;SAN JUAN BOSCO
17;08;50;PICHINCHA; PEDRO VICENTE MALDONADO;PEDRO VICENTE MALDONADO
18;08;50;TUNGURAHUA;SANTIAGO DE PILLARO;PILLARO
19;08;50; ZAMORA CHINCHIPE;PALANDA;PALANDA
01;09;50;AZUAY; SIGSIG; SIGSIG
06;09;50;CHIMBORAZO; PENIPE;PENIPE
07;09;50;EL ORO;PASAJE;PASAJE
09;09;50;GUAYAS;EL TRIUNFO;EL TRIUNFO
11;09;50;LOJA ;PALTAS;CATACOCHA
12;09;50;LOS RIOS;PALENQUE;PALENQUE
13;09;50;MANABI; MONTECRISTI   ;MONTECRISTI
14;09;50; MORONA SANTIAGO;TAISHA ;TAISHA
15;09;50; NAPO; CARLOS JULIO AROSEMENA TOLA;CARLOS JULIO AROSEMENA TOLA
17;09;50;PICHINCHA;PUERTO QUITO;PUERTO QUITO
18;09;50;TUNGURAHUA;TISALEO;TISALEO
19;09;50; ZAMORA CHINCHIPE;PAQUISHA ;PAQUISHA
01;10;50;AZUAY; OÑA;SAN FELIPE DE OÑA
06;10;50;CHIMBORAZO;CUMANDA;CUMANDA
07;10;50;EL ORO;PIÑAS;PIÑAS
09;10;50;GUAYAS; MILAGRO;MILAGRO
11;10;50;LOJA ; PUYANGO;ALAMOR
12;10;50;LOS RIOS;BUENA FE;SAN JACINTO DE BUENA FE
13;10;50;MANABI;PAJAN;PAJAN
14;10;50; MORONA SANTIAGO;LOGROÑO ;LOGROÑO
01;11;50;AZUAY;CHORDELEG;CHORDELEG
07;11;50;EL ORO;PORTOVELO;PORTOVELO
09;11;50;GUAYAS;NARANJAL;NARANJAL
11;11;50;LOJA ;SARAGURO;SARAGURO
12;11;50;LOS RIOS;VALENCIA;VALENCIA
13;11;50;MANABI; PICHINCHA;PICHINCHA
14;11;50; MORONA SANTIAGO;PABLO SEXTO;PABLO SEXTO
01;12;50;AZUAY; EL PAN; EL PAN
07;12;50;EL ORO;SANTA ROSA;SANTA ROSA
09;12;50;GUAYAS;NARANJITO;NARANJITO
11;12;50;LOJA ;SOZORANGA;SOZORANGA
12;12;50;LOS RIOS; MOCACHE;MOCACHE
13;12;50;MANABI;ROCAFUERTE;ROCAFUERTE
14;12;50; MORONA SANTIAGO;CANTON TIWINTZA;SANTIAGO
01;13;50;AZUAY; SEVILLA DE ORO; SEVILLA DE ORO
07;13;50;EL ORO;ZARUMA;ZARUMA
09;13;50;GUAYAS;PALESTINA;PALESTINA
11;13;50;LOJA ;ZAPOTILLO;ZAPOTILLO
12;13;50;LOS RIOS;QUINSALOMA;QUINSALOMA
13;13;50;MANABI;SANTA ANA;SANTA ANA DE VUELTA LARGA
01;14;50;AZUAY; GUACHAPALA; GUACHAPALA
07;14;50;EL ORO;LAS LAJAS;LA VICTORIA
09;14;50;GUAYAS;PEDRO CARBO;PEDRO CARBO
11;14;50;LOJA ; PINDAL;PINDAL
13;14;50;MANABI; SUCRE;BAHIA DE CARAQUEZ
01;15;50;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ
11;15;50;LOJA ;QUILANGA;QUILANGA
13;15;50;MANABI; TOSAGUA;TOSAGUA
09;16;50;GUAYAS;SAMBORONDON;SAMBORONDON
11;16;50;LOJA ;OLMEDO;OLMEDO
13;16;50;MANABI;24 DE MAYO;SUCRE
13;17;50;MANABI; PEDERNALES;PEDERNALES
09;18;50;GUAYAS; SANTA LUCIA;SANTA LUCIA
13;18;50;MANABI;OLMEDO;OLMEDO
09;19;50;GUAYAS;SALITRE (URBINA JADO);EL SALITRE (LAS RAMAS)
13;19;50;MANABI;PUERTO LOPEZ;PUERTO LOPEZ
09;20;50;GUAYAS;SAN JACINTO DE YAGUACHI;SAN JACINTO DE YAGUACHI
13;20;50;MANABI; JAMA;JAMA
09;21;50;GUAYAS; PLAYAS;GENERAL VILLAMIL (PLAYAS)
13;21;50;MANABI; JARAMIJO;JARAMIJO
09;22;50;GUAYAS;SIMON BOLIVAR;SIMON BOLIVAR
13;22;50;MANABI;SAN VICENTE;SAN VICENTE
09;23;50;GUAYAS;CORONEL MARCELINO MARIDUEÑA;CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)
09;24;50;GUAYAS;LOMAS DE SARGENTILLO;LOMAS DE SARGENTILLO
09;25;50;GUAYAS;NOBOL;NARCISA DE JESUS
09;27;50;GUAYAS;GENERAL ANTONIO ELIZALDE ;GENERAL ANTONIO ELIZALDE (BUCAY)
09;28;50;GUAYAS;ISIDRO AYORA ;ISIDRO AYORA
01;01;51;AZUAY;CUENCA;BAÑOS
02;01;51;BOLIVAR; GUARANDA;FACUNDO VELA
03;01;51; CAÑAR;AZOGUES;COJITAMBO
04;01;51;CARCHI; TULCAN;EL CARMELO (EL PUN) 
05;01;51; COTOPAXI;LATACUNGA;ALAQUES (ALAQUEZ) 
06;01;51;CHIMBORAZO;RIOBAMBA;CACHA (CAB. EN MACHANGARA) 
10;01;51;IMBABURA; IBARRA;AMBUQUI
11;01;51;LOJA ; LOJA;CHANTACO
13;01;51;MANABI;PORTOVIEJO;ABDON CALDERON (SAN FRANCISCO)
14;01;51; MORONA SANTIAGO;MORONA;ALSHI (CAB. EN 9 DE OCTUBRE)
15;01;51; NAPO;TENA;AHUANO
17;01;51;PICHINCHA;QUITO;ALANGASI
18;01;51;TUNGURAHUA;AMBATO;AMBATILLO
19;01;51; ZAMORA CHINCHIPE;ZAMORA;CUMBARATZA
20;01;51; GALAPAGOS; SAN CRISTOBAL;EL PROGRESO
22;01;51; ORELLANA;ORELLANA;DAYUMA
23;01;51;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ALLURIQUIN
24;01;51;SANTA ELENA; SANTA ELENA;ATAHUALPA
90;01;51;ZONAS NO DELIMITADAS;ZONAS NO DELIMITADAS;LAS GOLONDRINAS
01;02;51;AZUAY;GIRON;ASUNCION
02;02;51;BOLIVAR; CHILLANES;SAN JOSE DEL TAMBO (TAMBOPAMBA)
03;02;51; CAÑAR; BIBLIAN;NAZON (CAB. EN PAMPA DE DOMINGUEZ)
04;02;51;CARCHI; BOLIVAR;GARCIA MORENO
05;02;51; COTOPAXI;LA MANA;GUASAGANDA (CAB.EN GUASAGANDA CENTRO)
06;02;51;CHIMBORAZO;ALAUSI;ACHUPALLAS
07;02;51;EL ORO;ARENILLAS;CHACRAS
08;02;51;ESMERALDAS;ELOY ALFARO;ANCHAYACU
10;02;51;IMBABURA;ANTONIO ANTE;IMBAYA (SAN LUIS DE COBUENDO) 
11;02;51;LOJA ;CALVAS;COLAISACA
12;02;51;LOS RIOS;BABA;GUARE
13;02;51;MANABI;BOLIVAR;MEMBRILLO
14;02;51; MORONA SANTIAGO; GUALAQUIZA;AMAZONAS (ROSARIO DE CUYES) 
16;02;51; PASTAZA;MERA;MADRE TIERRA
17;02;51;PICHINCHA;CAYAMBE;ASCAZUBI
18;02;51;TUNGURAHUA;BAÑOS DE AGUA SANTA;LLIGUA
19;02;51; ZAMORA CHINCHIPE; CHINCHIPE;CHITO
20;02;51; GALAPAGOS; ISABELA;TOMAS DE BERLANGA (SANTO TOMAS)
21;02;51;SUCUMBIOS; GONZALO PIZARRO;EL REVENTADOR   
22;02;51; ORELLANA;AGUARICO;CAPITAN AUGUSTO RIVADENEYRA
02;03;51;BOLIVAR; CHIMBO;ASUNCION (ASANCOTO) 
03;03;51; CAÑAR;CAÑAR;CHONTAMARCA
04;03;51;CARCHI; ESPEJO;EL GOALTAL
05;03;51; COTOPAXI;PANGUA;MORASPUNGO
06;03;51;CHIMBORAZO; COLTA;CAÑI
07;03;51;EL ORO;ATAHUALPA;AYAPAMBA
08;03;51;ESMERALDAS;MUISNE;BOLIVAR
10;03;51;IMBABURA;COTACACHI;APUELA
11;03;51;LOJA ;CATAMAYO;EL TAMBO
13;03;51;MANABI;CHONE;BOYACA
14;03;51; MORONA SANTIAGO;LIMON INDANZA;INDANZA
16;03;51; PASTAZA; SANTA CLARA;SAN JOSE
17;03;51;PICHINCHA; MEJIA;ALOAG
19;03;51; ZAMORA CHINCHIPE; NANGARITZA;ZURMI
20;03;51; GALAPAGOS; SANTA CRUZ;BELLAVISTA
21;03;51;SUCUMBIOS; PUTUMAYO;PALMA ROJA
22;03;51; ORELLANA; LA JOYA DE LOS SACHAS;ENOKANQUI 
24;03;51;SANTA ELENA;SALINAS;ANCONCITO
90;03;51;ZONAS NO DELIMITADAS;ZONAS NO DELIMITADAS;MANGA DEL CURA
01;04;51;AZUAY; NABON;COCHAPATA
03;04;51; CAÑAR; LA TRONCAL;MANUEL J. CALLE
04;04;51;CARCHI; MIRA;CONCEPCION
05;04;51; COTOPAXI; PUJILI;ANGAMARCA
07;04;51;EL ORO;BALSAS;BELLAMARIA
08;04;51;ESMERALDAS;QUININDE;CUBE
10;04;51;IMBABURA;OTAVALO;DR. MIGUEL EGAS CABEZAS (PEGUCHE) 
11;04;51;LOJA ;CELICA;CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)
12;04;51;LOS RIOS;PUEBLOVIEJO;PUERTO PECHICHE
13;04;51;MANABI;EL CARMEN;WILFRIDO LOOR MOREIRA (MAICITO)
14;04;51; MORONA SANTIAGO;PALORA;ARAPICOS
15;04;51; NAPO;EL CHACO;GONZALO DIAZ DE PINEDA (EL BOMBON) 
16;04;51; PASTAZA; ARAJUNO;CURARAY
17;04;51;PICHINCHA; PEDRO MONCAYO;LA ESPERANZA
18;04;51;TUNGURAHUA; MOCHA;PINGUILI
19;04;51; ZAMORA CHINCHIPE; YACUAMBI;LA PAZ
21;04;51;SUCUMBIOS;SHUSHUFINDI;LIMONCOCHA
22;04;51; ORELLANA; LORETO;AVILA (CAB. EN HUIRUNO) 
90;04;51;ZONAS NO DELIMITADAS;ZONAS NO DELIMITADAS;EL PIEDRERO
02;05;51;BOLIVAR;SAN MIGUEL;BALSAPAMBA
04;05;51;CARCHI;MONTUFAR;CRISTOBAL COLON
05;05;51; COTOPAXI; SALCEDO;ANTONIO JOSE HOLGUIN  (SANTA LUCIA)
06;05;51;CHIMBORAZO;CHUNCHI;CAPZOL
08;05;51;ESMERALDAS;SAN LORENZO;ALTO TAMBO (CAB. EN GUADUAL) 
09;05;51;GUAYAS;COLIMES;SAN JACINTO
10;05;51;IMBABURA;PIMAMPIRO;CHUGA
11;05;51;LOJA ;CHAGUARPAMBA;BUENAVISTA
13;05;51;MANABI; FLAVIO ALFARO;SAN FRANCISCO DE NOVILLO (CAB. EN  NOVILLO)
14;05;51; MORONA SANTIAGO;SANTIAGO;COPAL
17;05;51;PICHINCHA;RUMIÑAHUI;COTOGCHOA
18;05;51;TUNGURAHUA; PATATE;EL TRIUNFO
19;05;51; ZAMORA CHINCHIPE; YANTZAZA (YANZATZA);CHICAÑA
21;05;51;SUCUMBIOS; SUCUMBIOS;EL PLAYON DE SAN FRANCISCO
03;06;51; CAÑAR; DELEG;SOLANO
04;06;51;CARCHI; SAN PEDRO DE HUACA;MARISCAL SUCRE
05;06;51; COTOPAXI;SAQUISILI;CANCHAGUA
06;06;51;CHIMBORAZO;GUAMOTE;CEBADAS
07;06;51;EL ORO;EL GUABO;BARBONES (SUCRE) 
08;06;51;ESMERALDAS;ATACAMES;LA UNION
10;06;51;IMBABURA;SAN MIGUEL DE URCUQUI;CAHUASQUI
11;06;51;LOJA ; ESPINDOLA;BELLAVISTA
12;06;51;LOS RIOS;URDANETA;RICAURTE
13;06;51;MANABI; JIPIJAPA;AMERICA
14;06;51; MORONA SANTIAGO;SUCUA;ASUNCION
18;06;51;TUNGURAHUA; QUERO;RUMIPAMBA
19;06;51; ZAMORA CHINCHIPE; EL PANGUI;EL GUISME 
21;06;51;SUCUMBIOS;CASCALES;SANTA ROSA DE SUCUMBIOS
01;07;51;AZUAY; SAN FERNANDO;CHUMBLIN
05;07;51; COTOPAXI;SIGCHOS;CHUGCHILLAN
06;07;51;CHIMBORAZO;GUANO;GUANANDO
08;07;51;ESMERALDAS;RIOVERDE;CHONTADURO
11;07;51;LOJA ; GONZANAMA;CHANGAIMINA (LA LIBERTAD) 
14;07;51; MORONA SANTIAGO; HUAMBOYA;CHIGUAZA
15;07;51; NAPO;QUIJOS;COSANGA
17;07;51;PICHINCHA; SAN MIGUEL DE LOS BANCOS;MINDO
18;07;51;TUNGURAHUA;SAN PEDRO DE PELILEO;BENITEZ (PACHANLICA) 
21;07;51;SUCUMBIOS;CUYABENO;CUYABENO
01;08;51;AZUAY; SANTA ISABEL;ABDON CALDERON  (LA UNION) 
07;08;51;EL ORO;MARCABELI;EL INGENIO
09;08;51;GUAYAS; EL EMPALME;GUAYAS (PUEBLO NUEVO) 
11;08;51;LOJA ;MACARA;LARAMA
12;08;51;LOS RIOS;VINCES;ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES) 
13;08;51;MANABI; MANTA;SAN LORENZO
14;08;51; MORONA SANTIAGO;SAN JUAN BOSCO ;PAN DE AZUCAR
18;08;51;TUNGURAHUA;SANTIAGO DE PILLARO;BAQUERIZO MORENO
