Canton;Num. Aprendidos/Detenidos
24 DE MAYO;25
AGUARICO;9
ALAUSI;7
ALFREDO BAQUERIZO MORENO (JUJAN);23
AMBATO;675
ANTONIO ANTE;91
ARAJUNO;11
ARCHIDONA;85
ARENILLAS;63
ATACAMES;147
ATAHUALPA;4
AZOGUES;101
BABA;73
BABAHOYO;176
BALAO;17
BALSAS;5
BALZAR;60
BAÑOS DE AGUA SANTA;64
BIBLIAN;40
BOLIVAR;44
BUENA FE;163
CALUMA;18
CALVAS;43
CAMILO PONCE ENRIQUEZ;42
CAÑAR;45
CARLOS JULIO AROSEMENA TOLA;7
CASCALES;21
CATAMAYO;138
CAYAMBE;155
CELICA;7
CENTINELA DEL CONDOR;21
CEVALLOS;19
CHAGUARPAMBA;3
CHAMBO;31
CHILLANES;19
CHIMBO;12
CHINCHIPE;15
CHONE;158
CHORDELEG;12
CHUNCHI;9
COLIMES;6
COLTA;21
COTACACHI;48
CORONEL MARCELINO MARIDUEÑA;17
CUENCA;773
CUMANDA;13
CUYABENO;8
DAULE;163
DELEG;7
DURAN;359
ECHEANDIA;32
EL CARMEN;98
EL CHACO;8
EL GUABO;93
EL PANGUI;50
EL TAMBO;9
EL TRIUNFO;40
ELOY ALFARO;26
EL EMPALME;81
ESMERALDAS;404
ESPEJO;13
ESPINDOLA;1
FLAVIO ALFARO;25
GIRON;8
GENERAL ANTONIO ELIZALDE;6
GONZALO PIZARRO;13
GONZANAMA;10
GUALACEO;59
GUALAQUIZA;80
GUAMOTE;14
GUANO;64
GUARANDA;147
GUAYAQUIL;3747
HUAMBOYA;13
HUAQUILLAS;176
IBARRA;672
ISABELA;28
ISIDRO AYORA;5
JAMA;13
JARAMIJO;44
JIPIJAPA;84
JUNIN;14
LA CONCORDIA;150
LA JOYA DE LOS SACHAS;142
LA LIBERTAD;179
LA MANA;62
LA TRONCAL;115
LAGO AGRIO;339
LAS LAJAS;5
LAS NAVES;10
LATACUNGA;498
LIMON INDANZA;16
LOGROÑO;6
LOJA;529
LOMAS DE SARGENTILLO;14
LORETO;64
MACARA;42
MACHALA;519
MANTA;399
MAR TERRITORIAL;90
MARCABELI;14
MEJIA;218
MERA;58
MILAGRO;231
MIRA;16
MOCACHE;61
MOCHA;5
MONTALVO;74
MONTECRISTI;80
MONTUFAR;87
MORONA;223
MUISNE;23
NABON;2
NANGARITZA;8
NARANJAL;111
NARANJITO;44
NOBOL;35
OLMEDO;7
OÑA;4
ORELLANA;272
OTAVALO;160
PABLO SEXTO;2
PAJAN;26
PALANDA;1
PALENQUE;15
PALESTINA;8
PALLATANGA;16
PALORA;43
PALTAS;37
PANGUA;14
PAQUISHA;20
PASAJE;134
PASTAZA;356
PATATE;7
PAUTE;24
PEDERNALES;93
PEDRO CARBO;41
PEDRO MONCAYO;41
PEDRO VICENTE MALDONADO;31
PENIPE;8
PICHINCHA;18
PIMAMPIRO;8
PIÑAS;78
PINDAL;6
PLAYAS;73
PORTOVELO;74
PORTOVIEJO;374
PUCARA;5
PUEBLOVIEJO;53
PUERTO LOPEZ;12
PUERTO QUITO;13
PUJILI;30
PUTUMAYO;3
PUYANGO;7
QUERO;9
QUEVEDO;382
QUIJOS;39
QUILANGA;5
QUININDE;154
QUINSALOMA;57
QUITO;3540
RIOBAMBA;458
RIOVERDE;38
ROCAFUERTE;40
RUMIÑAHUI;253
SALCEDO;133
SALINAS;113
SALITRE (URBINA JADO);30
SAMBORONDON;64
SAN CRISTOBAL;44
SAN FERNANDO;2
SAN JACINTO DE YAGUACHI;78
SAN JUAN BOSCO;2
SAN LORENZO;66
SAN MIGUEL;29
SAN MIGUEL DE LOS BANCOS;27
SAN MIGUEL DE URCUQUI;30
SAN PEDRO DE HUACA;20
SAN PEDRO DE PELILEO;80
SAN VICENTE;34
SANTA ANA;34
SANTA CLARA;6
SANTA CRUZ;89
SANTA ELENA;182
SANTA ISABEL;8
SANTA LUCIA;21
SANTA ROSA;132
SANTIAGO;13
SANTIAGO DE PILLARO;80
SANTO DOMINGO;819
SAQUISILI;19
SARAGURO;11
SEVILLA DE ORO;1
SHUSHUFINDI;123
SIGCHOS;20
SIGSIG;13
SIMON BOLIVAR;21
SOZORANGA;6
SUCRE;61
SUCUA;39
SUCUMBIOS;2
SUSCAL;7
TAISHA;18
TENA;332
TISALEO;6
CANTON TIWINTZA;10
TOSAGUA;24
TULCAN;536
URDANETA;34
VALENCIA;79
VENTANAS;82
VINCES;68
YACUAMBI;3
YANTZAZA (YANZATZA);82
ZAMORA;84
ZAPOTILLO;13
ZARUMA;39